Table S1. Accession information for genomes screened in the current study				
				
Species	Strain ID	NCBI Genome Accession	Publication	SRA accession
Y. pestis	12	ADOV00000000 	Cui et al. 2012	SRR069094
Y. pestis	164	ADOW00000000 	Cui et al. 2012	SRR069096
Y. pestis	2	ADOX00000000 	Cui et al. 2012	SRR069097
Y. pestis	2330	ADOY00000000 	Cui et al. 2012	SRR069098
Y. pestis	2504	ADOZ00000000 	Cui et al. 2012	SRR069099
Y. pestis	2506	ADPA00000000 	Cui et al. 2012	SRR069100
Y. pestis	2654	ADPB00000000 	Cui et al. 2012	SRR069101
Y. pestis	30017	ADPC00000000 	Cui et al. 2012	SRR069102
Y. pestis	34008	ADPD00000000 	Cui et al. 2012	SRR069104
Y. pestis	34202	ADPE00000000 	Cui et al. 2012	SRR069105
Y. pestis	351001	ADPF00000000 	Cui et al. 2012	SRR069106
Y. pestis	42013	ADPG00000000 	Cui et al. 2012	SRR069110
Y. pestis	42082	ADPH00000000 	Cui et al. 2012	SRR069111
Y. pestis	42091	ADPI00000000 	Cui et al. 2012	SRR069113
Y. pestis	42095	ADPJ00000000 	Cui et al. 2012	SRR069114
Y. pestis	5	ADPK00000000 	Cui et al. 2012	SRR069116
Y. pestis	5761	ADPL00000000 	Cui et al. 2012	SRR069095
Y. pestis	620024	ADPM00000000 	Cui et al. 2012	SRR069117
Y. pestis	7	ADPN00000000 	Cui et al. 2012	SRR069125
Y. pestis	71021	ADPO00000000 	Cui et al. 2012	SRR069120
Y. pestis	710317	ADPP00000000 	Cui et al. 2012	SRR069121
Y. pestis	7338	ADPQ00000000 	Cui et al. 2012	SRR069122
Y. pestis	735	ADPR00000000 	Cui et al. 2012	SRR069103
Y. pestis	780441	ADPS00000000 	Cui et al. 2012	SRR069126
Y. pestis	9	ADPT00000000 	Cui et al. 2012	SRR069129
Y. pestis	91	ADPU00000000 	Cui et al. 2012	SRR069130
Y. pestis	945	ADPV00000000 	Cui et al. 2012	SRR069132
Y. pestis	970754	ADPW00000000 	Cui et al. 2012	SRR069133
Y. pestis	A1956001	ADPX00000000 	Cui et al. 2012	SRR069162
Y. pestis	A1973001	ADPY00000000 	Cui et al. 2012	SRR069109
Y. pestis	C1975003	ADPZ00000000 	Cui et al. 2012	SRR069153
Y. pestis	C1976001	ADQA00000000 	Cui et al. 2012	SRR069119
Y. pestis	C1989001	ADQB00000000 	Cui et al. 2012	SRR069128
Y. pestis	CMCC02041	ADQC00000000 	Cui et al. 2012	SRR069134
Y. pestis	CMCC03001	ADQD00000000 	Cui et al. 2012	SRR069135
Y. pestis	CMCC05009	ADQE00000000 	Cui et al. 2012	SRR069136
Y. pestis	CMCC05013	ADQF00000000 	Cui et al. 2012	SRR069137
Y. pestis	CMCC10012	ADQG00000000 	Cui et al. 2012	SRR069138
Y. pestis	CMCC104003	ADQH00000000 	Cui et al. 2012	SRR069139
Y. pestis	CMCC106002	ADQI00000000 	Cui et al. 2012	SRR069140
Y. pestis	CMCC107004	ADQJ00000000 	Cui et al. 2012	SRR069141
Y. pestis	CMCC11001	ADQK00000000 	Cui et al. 2012	SRR069142
Y. pestis	CMCC114001	ADQL00000000 	Cui et al. 2012	SRR069144
Y. pestis	CMCC12003	ADQM00000000 	Cui et al. 2012	SRR069145
Y. pestis	CMCC125002	ADQN00000000 	Cui et al. 2012	SRR069151
Y. pestis	CMCC18019	ADQO00000000 	Cui et al. 2012	SRR069155
Y. pestis	CMCC21106	ADQP00000000 	Cui et al. 2012	SRR069156
Y. pestis	CMCC27002	ADQQ00000000 	Cui et al. 2012	SRR069157
Y. pestis	CMCC31004	ADQR00000000 	Cui et al. 2012	SRR069158
Y. pestis	CMCC347001	ADQS00000000 	Cui et al. 2012	SRR069159
Y. pestis	CMCC348002	ADQT00000000 	Cui et al. 2012	SRR069160
Y. pestis	CMCC38001	ADQU00000000 	Cui et al. 2012	SRR069161
Y. pestis	CMCC42007	ADQV00000000 	Cui et al. 2012	SRR069163
Y. pestis	CMCC43032	ADQW00000000 	Cui et al. 2012	SRR069164
Y. pestis	CMCC49003	ADQX00000000 	Cui et al. 2012	SRR069167
Y. pestis	CMCC51020	ADQY00000000 	Cui et al. 2012	SRR069168
Y. pestis	CMCC64001	ADQZ00000000 	Cui et al. 2012	SRR069170
Y. pestis	CMCC640047	ADRA00000000 	Cui et al. 2012	SRR069171
Y. pestis	CMCC67001	ADRB00000000 	Cui et al. 2012	SRR069172
Y. pestis	CMCC71001	ADRC00000000 	Cui et al. 2012	SRR069173
Y. pestis	CMCC8211	ADRD00000000 	Cui et al. 2012	SRR069176
Y. pestis	CMCC84033	ADRE00000000 	Cui et al. 2012	SRR069178
Y. pestis	CMCC84038	ADRF00000000 	Cui et al. 2012	SRR069180
Y. pestis	CMCC84046	ADRG00000000 	Cui et al. 2012	SRR069181
Y. pestis	CMCC87001	ADRH00000000 	Cui et al. 2012	SRR069182
Y. pestis	CMCC90027	ADRI00000000 	Cui et al. 2012	SRR069183
