	gi|16082679|ref|NC_003132.1|_1	gi|16082679|ref|NC_003132.1|_2	gi|16082679|ref|NC_003132.1|_3	gi|16082679|ref|NC_003132.1|_4	gi|16082679|ref|NC_003132.1|_5	gi|16082679|ref|NC_003132.1|_6	gi|16082679|ref|NC_003132.1|_7	gi|16082679|ref|NC_003132.1|_8	gi|16082679|ref|NC_003132.1|_9		gi|16082691|ref|NC_003131.1|_1	gi|16082691|ref|NC_003131.1|_2	gi|16082691|ref|NC_003131.1|_3	gi|16082691|ref|NC_003131.1|_4	gi|16082691|ref|NC_003131.1|_5	gi|16082691|ref|NC_003131.1|_6	gi|16082691|ref|NC_003131.1|_7	gi|16082691|ref|NC_003131.1|_8	gi|16082691|ref|NC_003131.1|_9	gi|16082691|ref|NC_003131.1|_10	gi|16082691|ref|NC_003131.1|_11	gi|16082691|ref|NC_003131.1|_12	gi|16082691|ref|NC_003131.1|_13	gi|16082691|ref|NC_003131.1|_14	gi|16082691|ref|NC_003131.1|_15	gi|16082691|ref|NC_003131.1|_16	gi|16082691|ref|NC_003131.1|_17	gi|16082691|ref|NC_003131.1|_18	gi|16082691|ref|NC_003131.1|_19	gi|16082691|ref|NC_003131.1|_20	gi|16082691|ref|NC_003131.1|_21	gi|16082691|ref|NC_003131.1|_22	gi|16082691|ref|NC_003131.1|_23	gi|16082691|ref|NC_003131.1|_24	gi|16082691|ref|NC_003131.1|_25	gi|16082691|ref|NC_003131.1|_26	gi|16082691|ref|NC_003131.1|_27	gi|16082691|ref|NC_003131.1|_28	gi|16082691|ref|NC_003131.1|_29	gi|16082691|ref|NC_003131.1|_30	gi|16082691|ref|NC_003131.1|_31	gi|16082691|ref|NC_003131.1|_32	gi|16082691|ref|NC_003131.1|_33	gi|16082691|ref|NC_003131.1|_34	gi|16082691|ref|NC_003131.1|_35	gi|16082691|ref|NC_003131.1|_36	gi|16082691|ref|NC_003131.1|_37	gi|16082691|ref|NC_003131.1|_38	gi|16082691|ref|NC_003131.1|_39	gi|16082691|ref|NC_003131.1|_40	gi|16082691|ref|NC_003131.1|_41	gi|16082691|ref|NC_003131.1|_42	gi|16082691|ref|NC_003131.1|_43	gi|16082691|ref|NC_003131.1|_44	gi|16082691|ref|NC_003131.1|_45	gi|16082691|ref|NC_003131.1|_46	gi|16082691|ref|NC_003131.1|_47	gi|16082691|ref|NC_003131.1|_48	gi|16082691|ref|NC_003131.1|_49	gi|16082691|ref|NC_003131.1|_50	gi|16082691|ref|NC_003131.1|_51	gi|16082691|ref|NC_003131.1|_52	gi|16082691|ref|NC_003131.1|_53	gi|16082691|ref|NC_003131.1|_54	gi|16082691|ref|NC_003131.1|_55	gi|16082691|ref|NC_003131.1|_56	gi|16082691|ref|NC_003131.1|_57	gi|16082691|ref|NC_003131.1|_58	gi|16082691|ref|NC_003131.1|_59	gi|16082691|ref|NC_003131.1|_60	gi|16082691|ref|NC_003131.1|_61	gi|16082691|ref|NC_003131.1|_62	gi|16082691|ref|NC_003131.1|_63	gi|16082691|ref|NC_003131.1|_64	gi|16082691|ref|NC_003131.1|_65	gi|16082691|ref|NC_003131.1|_66	gi|16082691|ref|NC_003131.1|_67	gi|16082691|ref|NC_003131.1|_68	gi|16082691|ref|NC_003131.1|_69	gi|16082691|ref|NC_003131.1|_70	gi|16082691|ref|NC_003131.1|_71	gi|16082691|ref|NC_003131.1|_72	gi|16082691|ref|NC_003131.1|_73	gi|16082691|ref|NC_003131.1|_74	gi|16082691|ref|NC_003131.1|_75	gi|16082691|ref|NC_003131.1|_76	gi|16082691|ref|NC_003131.1|_77	gi|16082691|ref|NC_003131.1|_78	gi|16082691|ref|NC_003131.1|_79	gi|16082691|ref|NC_003131.1|_80	gi|16082691|ref|NC_003131.1|_81	gi|16082691|ref|NC_003131.1|_82	gi|16082691|ref|NC_003131.1|_83	gi|16082691|ref|NC_003131.1|_84	gi|16082691|ref|NC_003131.1|_85	gi|16082691|ref|NC_003131.1|_86	gi|16082691|ref|NC_003131.1|_87	gi|16082691|ref|NC_003131.1|_88	gi|16082691|ref|NC_003131.1|_89		gi|16082781|ref|NC_003134.1|_1	gi|16082781|ref|NC_003134.1|_2	gi|16082781|ref|NC_003134.1|_3	gi|16082781|ref|NC_003134.1|_4	gi|16082781|ref|NC_003134.1|_5	gi|16082781|ref|NC_003134.1|_6	gi|16082781|ref|NC_003134.1|_7	gi|16082781|ref|NC_003134.1|_8	gi|16082781|ref|NC_003134.1|_9	gi|16082781|ref|NC_003134.1|_10	gi|16082781|ref|NC_003134.1|_11	gi|16082781|ref|NC_003134.1|_12	gi|16082781|ref|NC_003134.1|_13	gi|16082781|ref|NC_003134.1|_14	gi|16082781|ref|NC_003134.1|_15	gi|16082781|ref|NC_003134.1|_16	gi|16082781|ref|NC_003134.1|_17	gi|16082781|ref|NC_003134.1|_18	gi|16082781|ref|NC_003134.1|_19	gi|16082781|ref|NC_003134.1|_20	gi|16082781|ref|NC_003134.1|_21	gi|16082781|ref|NC_003134.1|_22	gi|16082781|ref|NC_003134.1|_23	gi|16082781|ref|NC_003134.1|_24	gi|16082781|ref|NC_003134.1|_25	gi|16082781|ref|NC_003134.1|_26	gi|16082781|ref|NC_003134.1|_27	gi|16082781|ref|NC_003134.1|_28	gi|16082781|ref|NC_003134.1|_29	gi|16082781|ref|NC_003134.1|_30	gi|16082781|ref|NC_003134.1|_31	gi|16082781|ref|NC_003134.1|_32	gi|16082781|ref|NC_003134.1|_33	gi|16082781|ref|NC_003134.1|_34	gi|16082781|ref|NC_003134.1|_35	gi|16082781|ref|NC_003134.1|_36	gi|16082781|ref|NC_003134.1|_37	gi|16082781|ref|NC_003134.1|_38	gi|16082781|ref|NC_003134.1|_39	gi|16082781|ref|NC_003134.1|_40	gi|16082781|ref|NC_003134.1|_41	gi|16082781|ref|NC_003134.1|_42	gi|16082781|ref|NC_003134.1|_43	gi|16082781|ref|NC_003134.1|_44	gi|16082781|ref|NC_003134.1|_45	gi|16082781|ref|NC_003134.1|_46	gi|16082781|ref|NC_003134.1|_47	gi|16082781|ref|NC_003134.1|_48	gi|16082781|ref|NC_003134.1|_49	gi|16082781|ref|NC_003134.1|_50	gi|16082781|ref|NC_003134.1|_51	gi|16082781|ref|NC_003134.1|_52	gi|16082781|ref|NC_003134.1|_53	gi|16082781|ref|NC_003134.1|_54	gi|16082781|ref|NC_003134.1|_55	gi|16082781|ref|NC_003134.1|_56	gi|16082781|ref|NC_003134.1|_57	gi|16082781|ref|NC_003134.1|_58	gi|16082781|ref|NC_003134.1|_59	gi|16082781|ref|NC_003134.1|_60	gi|16082781|ref|NC_003134.1|_61	gi|16082781|ref|NC_003134.1|_62	gi|16082781|ref|NC_003134.1|_63	gi|16082781|ref|NC_003134.1|_64	gi|16082781|ref|NC_003134.1|_65	gi|16082781|ref|NC_003134.1|_66	gi|16082781|ref|NC_003134.1|_67	gi|16082781|ref|NC_003134.1|_68	gi|16082781|ref|NC_003134.1|_69	gi|16082781|ref|NC_003134.1|_70	gi|16082781|ref|NC_003134.1|_71	gi|16082781|ref|NC_003134.1|_72	gi|16082781|ref|NC_003134.1|_73	gi|16082781|ref|NC_003134.1|_74	gi|16082781|ref|NC_003134.1|_75	gi|16082781|ref|NC_003134.1|_76	gi|16082781|ref|NC_003134.1|_77	gi|16082781|ref|NC_003134.1|_78	gi|16082781|ref|NC_003134.1|_79	gi|16082781|ref|NC_003134.1|_80	gi|16082781|ref|NC_003134.1|_81	gi|16082781|ref|NC_003134.1|_82	gi|16082781|ref|NC_003134.1|_83	gi|16082781|ref|NC_003134.1|_84	gi|16082781|ref|NC_003134.1|_85	gi|16082781|ref|NC_003134.1|_86	gi|16082781|ref|NC_003134.1|_87	gi|16082781|ref|NC_003134.1|_88	gi|16082781|ref|NC_003134.1|_89	gi|16082781|ref|NC_003134.1|_90	gi|16082781|ref|NC_003134.1|_91	gi|16082781|ref|NC_003134.1|_92	gi|16082781|ref|NC_003134.1|_93	gi|16082781|ref|NC_003134.1|_94	gi|16082781|ref|NC_003134.1|_95	gi|16082781|ref|NC_003134.1|_96	gi|16082781|ref|NC_003134.1|_97	gi|16082781|ref|NC_003134.1|_98	gi|16082781|ref|NC_003134.1|_99	gi|16082781|ref|NC_003134.1|_100		gi|321161145|gb|CP002179.1|_1	gi|321161145|gb|CP002179.1|_10	gi|321161145|gb|CP002179.1|_11	gi|321161145|gb|CP002179.1|_12	gi|321161145|gb|CP002179.1|_13	gi|321161145|gb|CP002179.1|_14	gi|321161145|gb|CP002179.1|_15	gi|321161145|gb|CP002179.1|_16	gi|321161145|gb|CP002179.1|_17	gi|321161145|gb|CP002179.1|_18	gi|321161145|gb|CP002179.1|_19	gi|321161145|gb|CP002179.1|_2	gi|321161145|gb|CP002179.1|_20	gi|321161145|gb|CP002179.1|_21	gi|321161145|gb|CP002179.1|_22	gi|321161145|gb|CP002179.1|_23	gi|321161145|gb|CP002179.1|_24	gi|321161145|gb|CP002179.1|_25	gi|321161145|gb|CP002179.1|_26	gi|321161145|gb|CP002179.1|_27	gi|321161145|gb|CP002179.1|_28	gi|321161145|gb|CP002179.1|_29	gi|321161145|gb|CP002179.1|_3	gi|321161145|gb|CP002179.1|_30	gi|321161145|gb|CP002179.1|_31	gi|321161145|gb|CP002179.1|_32	gi|321161145|gb|CP002179.1|_33	gi|321161145|gb|CP002179.1|_34	gi|321161145|gb|CP002179.1|_35	gi|321161145|gb|CP002179.1|_36	gi|321161145|gb|CP002179.1|_37	gi|321161145|gb|CP002179.1|_38	gi|321161145|gb|CP002179.1|_39	gi|321161145|gb|CP002179.1|_4	gi|321161145|gb|CP002179.1|_40	gi|321161145|gb|CP002179.1|_41	gi|321161145|gb|CP002179.1|_5	gi|321161145|gb|CP002179.1|_6	gi|321161145|gb|CP002179.1|_7	gi|321161145|gb|CP002179.1|_8	gi|321161145|gb|CP002179.1|_9		gi|321161217|gb|CP002181.1|_1	gi|321161217|gb|CP002181.1|_10	gi|321161217|gb|CP002181.1|_11	gi|321161217|gb|CP002181.1|_12	gi|321161217|gb|CP002181.1|_13	gi|321161217|gb|CP002181.1|_14	gi|321161217|gb|CP002181.1|_15	gi|321161217|gb|CP002181.1|_16	gi|321161217|gb|CP002181.1|_17	gi|321161217|gb|CP002181.1|_18	gi|321161217|gb|CP002181.1|_19	gi|321161217|gb|CP002181.1|_2	gi|321161217|gb|CP002181.1|_20	gi|321161217|gb|CP002181.1|_21	gi|321161217|gb|CP002181.1|_22	gi|321161217|gb|CP002181.1|_23	gi|321161217|gb|CP002181.1|_24	gi|321161217|gb|CP002181.1|_25	gi|321161217|gb|CP002181.1|_26	gi|321161217|gb|CP002181.1|_27	gi|321161217|gb|CP002181.1|_28	gi|321161217|gb|CP002181.1|_29	gi|321161217|gb|CP002181.1|_3	gi|321161217|gb|CP002181.1|_30	gi|321161217|gb|CP002181.1|_31	gi|321161217|gb|CP002181.1|_32	gi|321161217|gb|CP002181.1|_33	gi|321161217|gb|CP002181.1|_34	gi|321161217|gb|CP002181.1|_35	gi|321161217|gb|CP002181.1|_36	gi|321161217|gb|CP002181.1|_37	gi|321161217|gb|CP002181.1|_38	gi|321161217|gb|CP002181.1|_39	gi|321161217|gb|CP002181.1|_4	gi|321161217|gb|CP002181.1|_40	gi|321161217|gb|CP002181.1|_41	gi|321161217|gb|CP002181.1|_42	gi|321161217|gb|CP002181.1|_43	gi|321161217|gb|CP002181.1|_44	gi|321161217|gb|CP002181.1|_5	gi|321161217|gb|CP002181.1|_6	gi|321161217|gb|CP002181.1|_7	gi|321161217|gb|CP002181.1|_8	gi|321161217|gb|CP002181.1|_9		gi|45357210|gb|AE017044.1|_1	gi|45357210|gb|AE017044.1|_10	gi|45357210|gb|AE017044.1|_11	gi|45357210|gb|AE017044.1|_12	gi|45357210|gb|AE017044.1|_13	gi|45357210|gb|AE017044.1|_14	gi|45357210|gb|AE017044.1|_15	gi|45357210|gb|AE017044.1|_16	gi|45357210|gb|AE017044.1|_17	gi|45357210|gb|AE017044.1|_18	gi|45357210|gb|AE017044.1|_19	gi|45357210|gb|AE017044.1|_2	gi|45357210|gb|AE017044.1|_20	gi|45357210|gb|AE017044.1|_21	gi|45357210|gb|AE017044.1|_22	gi|45357210|gb|AE017044.1|_23	gi|45357210|gb|AE017044.1|_24	gi|45357210|gb|AE017044.1|_25	gi|45357210|gb|AE017044.1|_26	gi|45357210|gb|AE017044.1|_27	gi|45357210|gb|AE017044.1|_28	gi|45357210|gb|AE017044.1|_3	gi|45357210|gb|AE017044.1|_4	gi|45357210|gb|AE017044.1|_5	gi|45357210|gb|AE017044.1|_6	gi|45357210|gb|AE017044.1|_7	gi|45357210|gb|AE017044.1|_8	gi|45357210|gb|AE017044.1|_9
SRR069136	1	1	1	1	1	1	1	1	1		1	1	0.35	0.47	0	0	0	0	0	0	0	0	0.89	1	0.99	0.99	0.93	1	0	0.76	0.24	0	0	0	0	0.78	1	0.54	1	0.3	0	0	0.58	0.23	0	0.48	1	1	0.36	1	1	0.76	1	1	1	0.45	0	1	1	1	1	1	1	1	1	0.45	1	0.76	1	0	0	0	0.58	0.98	0	0.89	1	0.97	0.99	0.83	0.92	0.15	0.34	0.96	0.92	1	1	1	0.54	0.37	0.04	0.76	0	0	1	0.98	0.29	0.17	1		1	1	1	1	1	1	1	1	1	1	1	0.86	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.59	1	1	1	1	1	1	1	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR069117	1	1	1	1	1	1	1	1	1		1	1	0.2	0.47	0	0.18	0	0	0	0	0	0	0	0	0.98	0.84	0.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0.22	1	0.28	0.54	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0.24	0	1	1	0	0.55	0.15	0.31	0.95	1	0	0	0	0	0	0	0	0	0	1	0.98	0	0	0		1	1	1	1	1	1	1	1	1	1	1	0.86	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.46	1	1	1	1	1	1	1	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR069198	1	1	0	0	0	0	0	0	0		1	1	0.19	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.98	0	0	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.88	1	1	1	1	1	0.71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.51	1	1	1	0.99	1	1	1	1	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YP_Pestoides_F	1	1	0	0	0	0	0	0	0		1	1	0.81	1	1	1	1	1	1	1	0.75	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.52	0.99	1	1	1	0.88	1	1	1	1	1	1	0.97	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	0.99	1	1	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YP_Angola	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR069094	1	1	1	1	1	1	1	1	1		1	1	0.81	1	1	1	1	1	1	1	1	1	1	1	1	0.86	1	1	0.75	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	0.99	1	1	1	1	0.97	1	1	1	1	1	0.59	1	1	0.81	1	1	0.76	1	1	1		1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	0.99	0.72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.61	0.48	1	1	1	1	1	1	1	1	0.94		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR069129	1	1	1	1	1	1	1	1	1		1	1	0.81	1	1	1	1	1	1	1	0.99	1	1	1	1	0.86	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	0.99	1	1	1	1	0.97	1	1	1	1	1	0.59	1	1	0.93	1	1	0.76	1	1	1		1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.82	1	1	1	0.99	0.99	0.72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.8	1	1	1	1	0.99	1	0.71	1	1	1	1	1	1	1	1	1	0.94		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YP_pestoides_A	1	1	0	1	1	1	1	1	1		1	1	0.5	1	1	1	1	1	1	1	1	0.47	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.89		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR069195	1	1	1	1	1	1	1	1	1		1	1	0.81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0.5	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	0.7	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	0.56	1	1	0.77	1	1	0.76	1	1	1		1	1	1	1	1	1	1	1	1	1	1	0.84	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.96	1	1	1	1	1	0.72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.73	1	0	0.37	1	1	1	0.71	0.38	1	0.68	1	1	1	1	1	1	0.89		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR069155	1	1	1	1	1	1	1	1	1		1	1	0.81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	1	1	1	1	0.99	1	1	1	1	1	0.57	1	1	1	1	1	0.76	1	1	1		1	1	1	1	1	1	1	1	1	1	1	0.84	1	1	1	1	1	1	1	1	1	1	0.54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.94	1	1	1	1	1	0.72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0.73	1	1	1	1	1	1	1	1	1	1	0.75	0.89		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
