Table S2. Assembly comparison between published assemblies and SPAdes assemblies used in the current study								
								
		Velvet				SPAdes		
Isolate		#Contigs		Assembly Size		#Contigs		Assembly Size
42013		877		4495101		303		4568982
CMCC49003		795		4534555		262		4630120
945		1243		4226749		429		4375697
164		1053		4444813		341		4552717
CMCC8211		797		4417626		249		4504619
42095		1119		4512584		324		4590055
CMCC42007		1040		4440824		340		4554624
CMCC43032		1049		4512744		336		4556201
2330		798		4427639		243		4517153
CMCC38001		1030		4483258		308		4590869
A1956001		852		4508534		254		4591409
42082		2049		4496670		365		4519613
CMCC21106		1387		4251990		434		4399440
42091		937		4495831		280		4598652
G8786		829		4325798		269		4416332
12		1092		4368767		347		4495200
9		1336		4452201		314		4550611
CMCCN010025		1016		4437913		301		4538703
M0000002		1135		4441674		327		4540628
CMCC18019		1478		4495992		317		4564746
CMCC93014		993		4507171		183		4596487
CMCC91090		987		4418766		277		4550321
CMCC05009		1501		4501730		302		4629090
620024		1131		4503786		305		4543984
CMCC11001		1100		4423348		369		4547833
780441		817		4525764		275		4616833
K21985002		1264		4399142		311		4503236
CMCC640047		1490		4305752		456		4476514
30017		747		4591472		237		4680337
CMCC31004		1229		4413744		421		4557233
C1975003		1452		4365481		462		4520607
C1989001		934		4588735		232		4687092
710317		1119		4449879		313		4565717
CMCC05013		1360		4395097		484		4454544
5		1008		4478071		329		4526762
CMCC10012		1001		4435712		353		4539951
CMCC27002		1451		4282597		448		4442887
970754		1104		4348631		385		4484656
D1991004		1270		4506081		287		4575064
D1964002		1555		4431847		271		4578802
CMCC02041		1281		4489186		301		4580519
CMCC03001		1082		4366616		297		4470946
D1982001		896		4410882		201		4506283
D1964001		1012		4389464		244		4496795
F1954001		1058		4521000		189		4620114
E1979001		75		4847813		228		4611043
CMCC84038		2446		4438544		261		4597121
YN1683		1897		4302115		432		4486804
YN472		1105		4525667		214		4630961
YN1065		1395		4472301		304		4602807
E1977001		1183		4385578		402		4517691
CMCC84033		1055		4459052		265		4577128
CMCC84046		1137		4517175		216		4622644
CMCC114001		1664		4231517		482		4436935
F1946001		1383		4463713		312		4605852
YN2179		1605		4307368		488		4483024
CMCCK110001		1385		4305250		480		4458198
YN2551		880		4524315		384		4577148
YN2588		1301		4307940		454		4454563
CMCC87001		870		4510364		280		4605449
F1984001		1467		4326553		488		4476049
YN663		1285		4203251		497		4416055
CMCCK100001		1406		4520971		255		4629229
EV76		1172		4274282		418		4396959
34008		1074		4375742		373		4509366
34202		1237		4504947		309		4623849
2		1057		4453910		363		4581507
351001		1332		4433848		363		4576259
CMCC347001		1207		4514951		250		4646579
G1996006		842		4542684		259		4653305
G1996010		772		4552418		248		4649986
CMCC348002		846		4571405		258		4662187
CMCC92010		1216		4384955		311		4483454
CMCC95001		1361		4337306		402		4486521
CMCC96001		907		4517589		246		4623583
CMCC96007		1563		4303407		432		4485527
CMCC67001		1099		4340671		346		4451820
CMCC104003		1387		4494768		293		4603432
CMCC51020		1118		4420992		372		4547443
CMCC106002		1176		4424589		319		4574720
CMCC64001		955		4360492		330		4479645
H1959004		946		4470270		298		4578285
5761		945		4262011		315		4384437
735		882		4423715		223		4533373
2506		820		4488493		238		4583349
2654		2718		4352602		364		4551644
2504		975		4475655		326		4527586
I160001		1222		4399336		307		4504324
91		906		4366271		286		4481363
K11973002		73		4720694		324		4480795
A1973001		1539		4413119		313		4508985
7338		1074		4344510		263		4422519
J1963002		1119		4434765		338		4556873
CMCC125002		790		4518010		333		4582372
I1969003		1213		4512122		282		4596400
J1978002		1098		4532297		220		4630911
H1958004		1339		4195425		438		4367581
I1970005		1199		4429836		361		4556662
CMCC99103		1262		4409843		378		4588460
CMCC90027		1102		4358986		348		4483965
CMCC92004		1461		4264825		368		4437164
I2001001		1526		4509469		187		4639195
CMCC12003		1045		4341435		343		4477836
I1994006		1247		4498336		325		4598812
SHAN11		1173		4384465		358		4526436
SHAN12		1362		4371391		393		4549993
I1991001		1191		4335804		400		4464725
CMCC107004		2814		4455583		200		4639351
7		768		4539616		310		4609682
CMCC71001		1744		4254189		460		4473709
C1976001		979		4546693		198		4646430
71021		1489		4493411		349		4610941
MGJZ6		1016		4368072		372		4484396
MGJZ7		1325		4365909		381		4506007
MGJZ9		1082		4474930		340		4599363
MGJZ11		859		4516720		266		4606493
MGJZ3		1187		4453871		187		4575827
MGJZ12		1203		4438965		353		4577245
