Table S6. LS-BSR matrix of 9 hemolysin genes screened against Y. pestis genomes										
										
	gi|51594359:c4098111-4097668	gi|51594359:c4098386-4098135	gi|51594359:c4098705-4098388	gi|51594359:c4099343-4098990	gi|51594359:c4101301-4099343	gi|51594359:c4101894-4101394	gi|51594359:c4105136-4101894	gi|51594359:c4108106-4105542	gi|51594359:c4108776-4108387	gi|51594359:c4109594-4108782
SRR069093	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069094	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069095	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069096	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069097	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069098	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069099	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069100	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069101	0.86	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069102	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069103	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069104	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069105	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069106	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069107	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069108	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069109	0.86	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069110	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069111	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069113	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069114	0.51	0	0	0	0.6	0	0.65	0.59	0	0.5
SRR069115	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069116	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069117	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069118	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069119	0.78	0	0	0	0.4	0	0.54	0.44	0	0.5
SRR069120	0.6	0	0	0	0.53	0	0.4	0.4	0	0.5
SRR069121	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069122	0.6	0	0	0	0.27	0	0.24	0.2	0	0.5
SRR069123	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069125	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069126	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069127	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069128	0.78	0	0	0	0.41	0	0.35	0.43	0	0.5
SRR069129	0.56	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069130	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069131	0.78	0	0	0	0.5	0	0.4	0.38	0	0.5
SRR069132	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069133	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069134	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069135	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069136	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069137	0.87	0	0	0	0.51	0	0.33	0.39	0	0.35
SRR069138	0.6	0	0	0	0.52	0	0.5	0.39	0	0.5
SRR069139	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069140	0.86	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069141	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069142	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069143	0.6	0	0	0	0.53	0	0.4	0.4	0	0.5
SRR069144	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069145	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069146	0.6	0	0	0	0.52	0	0.38	0.39	0	0.5
SRR069148	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069149	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069151	0.86	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069152	0.78	0	0	0	0.39	0	0.48	0.3	0	0.5
SRR069153	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069154	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069155	0.52	0	0	0	0.6	0	0.66	0.59	0	0.5
SRR069156	0.87	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069157	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069158	0.6	0	0	0	0.56	0	0.38	0.42	0	0.5
SRR069159	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069160	0.86	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069161	0.59	0	0	0	0.53	0	0.4	0.4	0	0.5
SRR069162	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069163	0.6	0	0	0	0.52	0	0.4	0.4	0	0.5
SRR069164	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069165	0.6	0	0	0	0.52	0	0.4	0.39	0	0.5
SRR069166	0.86	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069167	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069168	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069169	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069170	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069171	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069172	0.56	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069173	0.86	0	0	0	0.6	0	0.7	0.59	0	0.35
SRR069174	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069175	0.86	0	0	0	0.38	0	0.29	0.28	0	0.5
SRR069176	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069177	0.6	0	0	0	0.52	0	0.31	0.39	0	0.5
YP_CO92	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069178	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069180	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069181	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069182	0.78	0	0	0	0.36	0	0.29	0.27	0	0.5
SRR069183	0.86	0	0	0	0.6	0	0.56	0.59	0	0.35
SRR069184	0.6	0	0	0	0.51	0	0.49	0.39	0	0.5
SRR069185	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069186	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069187	0.78	0	0	0	0.6	0	0.46	0.58	0	0.5
SRR069188	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069189	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069190	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069191	0.78	0	0	0	0.6	0	0.7	0.59	0	0.35
SRR069192	0.78	0	0	0	0.41	0	0.59	0.44	0	0.5
SRR069193	0.78	0	0	0	0.29	0	0.3	0.22	0	0.5
SRR069194	0.78	0	0	0	0.27	0	0.24	0.2	0	0.5
SRR069195	0.78	0	0	0	0.6	0	0.7	0.59	0	0.47
SRR069196	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069197	0.6	0	0	0	0.21	0	0.39	0.26	0	0.5
SRR069198	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069199	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069200	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069201	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069202	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069203	0.71	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069204	0.6	0	0	0	0.6	0	0.56	0.59	0	0.35
SRR069205	0.6	0	0	0	0.52	0	0.4	0.39	0	0.5
SRR069206	0.78	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069207	0.78	0	0	0	0.6	0	0.56	0.59	0	0.5
SRR069208	0.6	0	0	0	0.6	0	0.7	0.59	0	0.5
SRR069209	0.86	0	0	0	0.52	0	0.4	0.39	0	0.5
SRR069210	0.78	0	0	0	0.28	0	0.3	0.21	0	0.5
SRR069212	0.6	0	0	0	0.37	0	0.29	0.31	0	0.5
